Date,FRME
2016-10-07,20.6511173248291
2016-10-10,20.94986343383789
2016-10-11,20.781343460083008
2016-10-12,20.857942581176758
2016-10-13,20.467287063598633
2016-10-14,20.658781051635742
2016-10-17,20.451967239379883
2016-10-18,20.605165481567383
2016-10-19,20.819643020629883
2016-10-20,20.8043270111084
2016-10-21,20.8043270111084
2016-10-24,21.072423934936523
2016-10-25,21.53201675415039
2016-10-26,22.022249221801758
2016-10-27,21.71585464477539
2016-10-28,21.294557571411133
2016-10-31,21.56264877319336
2016-11-01,21.60861587524414
2016-11-02,21.072423934936523
2016-11-03,21.21795654296875
2016-11-04,21.00347900390625
2016-11-07,21.623937606811523
2016-11-08,21.55499267578125
2016-11-09,22.144807815551758
2016-11-10,23.071659088134766
2016-11-11,24.128721237182617
2016-11-14,24.595979690551758
2016-11-15,24.36618423461914
2016-11-16,24.7874755859375
2016-11-17,25.369630813598633
2016-11-18,26.020723342895508
2016-11-21,25.522830963134766
2016-11-22,26.066680908203125
2016-11-23,26.17392349243164
2016-11-25,26.14328956604004
2016-11-28,25.798587799072266
2016-11-29,26.357759475708008
2016-11-30,26.41161346435547
2016-12-01,26.988616943359375
2016-12-02,26.734737396240234
2016-12-05,27.311738967895508
2016-12-06,27.61948013305664
2016-12-07,27.896451950073242
2016-12-08,28.481149673461914
2016-12-09,28.958148956298828
2016-12-12,28.034929275512695
2016-12-13,28.18880271911621
2016-12-14,27.85029411315918
2016-12-15,28.234962463378906
2016-12-16,27.67333984375
2016-12-19,28.034929275512695
2016-12-20,28.32728385925293
2016-12-21,28.342676162719727
2016-12-22,28.558080673217773
2016-12-23,28.781192779541016
2016-12-27,29.150480270385742
2016-12-28,29.08123779296875
2016-12-29,28.91197967529297
2016-12-30,28.965829849243164
2017-01-03,29.004314422607422
2017-01-04,29.173561096191406
2017-01-05,28.6350154876709
2017-01-06,28.427297592163086
2017-01-09,28.07339859008789
2017-01-10,28.465763092041016
2017-01-11,28.32728385925293
2017-01-12,28.342676162719727
2017-01-13,28.350358963012695
2017-01-17,27.56562614440918
2017-01-18,27.704103469848633
2017-01-19,27.31944465637207
2017-01-20,27.53485679626465
2017-01-23,27.53485679626465
2017-01-24,28.050325393676758
2017-01-25,28.83504867553711
2017-01-26,29.335121154785156
2017-01-27,29.781341552734375
2017-01-30,29.36589241027832
2017-01-31,29.488994598388672
2017-02-01,29.46591567993164
2017-02-02,29.704410552978516
2017-02-03,30.8199520111084
2017-02-06,30.95075225830078
2017-02-07,30.96613883972168
2017-02-08,30.250640869140625
2017-02-09,30.49684715270996
2017-02-10,30.76611328125
2017-02-13,31.373882293701172
2017-02-14,31.781652450561523
