Date,FIBK
2015-12-08,19.248685836791992
2015-12-09,18.848222732543945
2015-12-10,18.93218231201172
2015-12-11,18.602760314941406
2015-12-14,18.383140563964844
2015-12-15,18.809459686279297
2015-12-16,19.222850799560547
2015-12-17,18.886962890625
2015-12-18,18.312091827392578
2015-12-21,18.731950759887695
2015-12-22,18.764245986938477
2015-12-23,18.867591857910156
2015-12-24,18.983854293823242
2015-12-28,18.886962890625
2015-12-29,19.07428741455078
2015-12-30,19.125957489013672
2015-12-31,18.777162551879883
2016-01-04,18.124774932861328
2016-01-05,18.09894371032715
2016-01-06,18.034345626831055
2016-01-07,17.763059616088867
2016-01-08,17.646785736083984
2016-01-11,17.627410888671875
2016-01-12,17.601572036743164
2016-01-13,17.239849090576172
2016-01-14,17.343202590942383
2016-01-15,16.929805755615234
2016-01-19,16.94272232055664
2016-01-20,16.652057647705078
2016-01-21,16.335556030273438
2016-01-22,16.600378036499023
2016-01-25,16.17405891418457
2016-01-26,16.477657318115234
2016-01-27,16.587461471557617
2016-01-28,17.102153778076172
2016-01-29,17.55820655822754
2016-02-01,17.362760543823242
2016-02-02,17.225940704345703
2016-02-03,17.330183029174805
2016-02-04,17.284578323364258
2016-02-05,17.08912467956543
2016-02-08,17.17382049560547
2016-02-09,17.27155303955078
2016-02-10,17.043521881103516
2016-02-11,16.74382209777832
2016-02-12,17.069581985473633
2016-02-16,17.310636520385742
2016-02-17,17.232458114624023
2016-02-18,17.069581985473633
2016-02-19,17.23897361755371
2016-02-22,17.284578323364258
2016-02-23,16.997913360595703
2016-02-24,17.252004623413086
2016-02-25,17.499574661254883
2016-02-26,17.62336540222168
2016-02-29,17.460485458374023
2016-03-01,18.027305603027344
2016-03-02,18.079423904418945
2016-03-03,18.248815536499023
2016-03-04,18.398658752441406
2016-03-07,18.431241989135742
2016-03-08,18.131542205810547
2016-03-09,18.06638526916504
2016-03-10,18.170629501342773
2016-03-11,18.535480499267578
2016-03-14,18.379121780395508
2016-03-15,18.14457130432129
2016-03-16,17.929574966430664
