Date,AUB
2010-09-29,8.27145004272461
2010-09-30,8.374038696289062
2010-10-01,8.470218658447266
2010-10-04,8.117565155029297
2010-10-05,8.592044830322266
2010-10-06,8.438158988952637
2010-10-07,8.38686752319336
2010-10-08,8.579224586486816
2010-10-11,8.540753364562988
2010-10-12,8.354804039001465
2010-10-13,8.53433895111084
2010-10-14,8.444574356079102
2010-10-15,8.22656536102295
2010-10-18,8.810053825378418
2010-10-19,8.521513938903809
2010-10-20,8.630517959594727
2010-10-21,8.354804039001465
2010-10-22,8.42534065246582
2010-10-25,8.444574356079102
2010-10-26,8.527929306030273
2010-10-27,8.406103134155273
2010-10-28,8.277861595153809
2010-10-29,8.24579906463623
2010-11-01,7.790549278259277
2010-11-02,8.136798858642578
2010-11-03,8.297096252441406
