Date,CCRN
2010-10-01,7.130000114440918
2010-10-04,6.630000114440918
2010-10-05,7.110000133514404
2010-10-06,6.920000076293945
2010-10-07,6.909999847412109
2010-10-08,7.110000133514404
2010-10-11,6.920000076293945
2010-10-12,6.78000020980835
2010-10-13,6.940000057220459
2010-10-14,7.179999828338623
2010-10-15,7.389999866485596
2010-10-18,7.550000190734863
2010-10-19,7.429999828338623
2010-10-20,7.519999980926514
2010-10-21,7.510000228881836
2010-10-22,7.590000152587891
2010-10-25,7.75
2010-10-26,7.519999980926514
2010-10-27,7.369999885559082
2010-10-28,7.5
2010-10-29,7.300000190734863
2010-11-01,6.849999904632568
2010-11-02,6.820000171661377
2010-11-03,7.010000228881836
2010-11-04,7.659999847412109
2010-11-05,7.269999980926514
2010-11-08,7.25
