Date,ORLY
2010-09-20,3.510667085647583
2010-09-21,3.4926669597625732
2010-09-22,3.555999994277954
2010-09-23,3.5153329372406006
2010-09-24,3.564666986465454
2010-09-27,3.5326669216156006
2010-09-28,3.5933330059051514
2010-09-29,3.6046669483184814
2010-09-30,3.5466670989990234
2010-10-01,3.557332992553711
2010-10-04,3.559333086013794
2010-10-05,3.6040000915527344
2010-10-06,3.576667070388794
2010-10-07,3.586667060852051
2010-10-08,3.565999984741211
2010-10-11,3.5233330726623535
2010-10-12,3.557332992553711
2010-10-13,3.5226669311523438
2010-10-14,3.5506670475006104
2010-10-15,3.5793330669403076
2010-10-18,3.541332960128784
2010-10-19,3.5339999198913574
2010-10-20,3.5820000171661377
2010-10-21,3.5759999752044678
2010-10-22,3.601332902908325
