Date,SNEX
2016-10-31,15.95555591583252
2016-11-01,15.608888626098633
2016-11-02,15.426667213439941
2016-11-03,15.551111221313477
2016-11-04,15.493332862854004
2016-11-07,15.702221870422363
2016-11-08,15.591111183166504
2016-11-09,16.311111450195312
2016-11-10,16.822221755981445
2016-11-11,17.0977783203125
2016-11-14,17.524444580078125
2016-11-15,17.497777938842773
2016-11-16,17.546667098999023
2016-11-17,17.41777801513672
2016-11-18,17.50666618347168
2016-11-21,17.77777862548828
2016-11-22,17.77777862548828
2016-11-23,18.06222152709961
2016-11-25,18.377777099609375
2016-11-28,18.413333892822266
2016-11-29,18.39555549621582
2016-11-30,18.27111053466797
2016-12-01,18.626667022705078
2016-12-02,18.200000762939453
2016-12-05,18.622222900390625
2016-12-06,18.65333366394043
2016-12-07,18.648889541625977
2016-12-08,19.15999984741211
2016-12-09,19.511110305786133
2016-12-12,19.426666259765625
2016-12-13,19.613332748413086
2016-12-14,19.382221221923828
2016-12-15,18.275556564331055
2016-12-16,18.46666717529297
2016-12-19,18.528888702392578
2016-12-20,18.408889770507812
2016-12-21,18.31999969482422
2016-12-22,18.044443130493164
2016-12-23,18.084444046020508
2016-12-27,18.0755558013916
2016-12-28,17.782222747802734
2016-12-29,17.773332595825195
2016-12-30,17.600000381469727
2017-01-03,17.959999084472656
2017-01-04,18.15999984741211
2017-01-05,17.231111526489258
2017-01-06,17.204444885253906
2017-01-09,17.03555679321289
2017-01-10,17.093332290649414
2017-01-11,17.248889923095703
2017-01-12,16.8799991607666
2017-01-13,17.03555679321289
2017-01-17,16.36888885498047
2017-01-18,16.39555549621582
2017-01-19,16.253332138061523
2017-01-20,16.253332138061523
2017-01-23,16.066667556762695
2017-01-24,16.22222137451172
2017-01-25,16.479999542236328
2017-01-26,16.35555648803711
2017-01-27,16.64444351196289
2017-01-30,16.453332901000977
2017-01-31,16.391111373901367
2017-02-01,16.520000457763672
2017-02-02,16.23555564880371
2017-02-03,16.488889694213867
2017-02-06,16.426666259765625
2017-02-07,16.453332901000977
2017-02-08,16.573333740234375
2017-02-09,16.288888931274414
2017-02-10,16.622222900390625
2017-02-13,16.755556106567383
2017-02-14,16.48444366455078
2017-02-15,16.408889770507812
2017-02-16,16.426666259765625
2017-02-17,16.404443740844727
2017-02-21,16.27111053466797
2017-02-22,16.231111526489258
2017-02-23,16.568889617919922
2017-02-24,16.617778778076172
2017-02-27,17.155555725097656
2017-02-28,16.77777862548828
2017-03-01,17.408889770507812
2017-03-02,17.106666564941406
2017-03-03,17.0
2017-03-06,16.893333435058594
2017-03-07,16.848888397216797
2017-03-08,16.946666717529297
2017-03-09,16.982221603393555
2017-03-10,16.79111099243164
2017-03-13,17.0755558013916
2017-03-14,16.991111755371094
2017-03-15,17.22222137451172
2017-03-16,17.697778701782227
2017-03-17,16.360000610351562
2017-03-20,16.399999618530273
2017-03-21,16.18666648864746
2017-03-22,16.1200008392334
2017-03-23,16.23555564880371
2017-03-24,16.07111167907715
2017-03-27,16.106666564941406
2017-03-28,16.244443893432617
2017-03-29,16.28444480895996
2017-03-30,16.737777709960938
2017-03-31,16.871110916137695
2017-04-03,16.68000030517578
2017-04-04,16.537778854370117
2017-04-05,16.30666732788086
2017-04-06,16.315555572509766
2017-04-07,16.248889923095703
2017-04-10,16.204444885253906
2017-04-11,16.213333129882812
2017-04-12,15.777777671813965
2017-04-13,15.653332710266113
2017-04-17,15.671111106872559
2017-04-18,15.875555992126465
2017-04-19,15.915555953979492
2017-04-20,16.288888931274414
2017-04-21,16.20888900756836
2017-04-24,16.35555648803711
2017-04-25,16.49333381652832
2017-04-26,16.746667861938477
2017-04-27,16.684444427490234
2017-04-28,16.600000381469727
2017-05-01,16.804443359375
2017-05-02,17.053333282470703
2017-05-03,16.751110076904297
2017-05-04,16.613332748413086
2017-05-05,16.440000534057617
2017-05-08,16.382221221923828
2017-05-09,16.502222061157227
2017-05-10,16.377777099609375
2017-05-11,15.342222213745117
2017-05-12,15.573332786560059
2017-05-15,15.737777709960938
2017-05-16,15.79555606842041
2017-05-17,15.315555572509766
2017-05-18,15.262222290039062
2017-05-19,15.164443969726562
2017-05-22,15.293333053588867
2017-05-23,15.4622220993042
2017-05-24,15.386667251586914
2017-05-25,15.471111297607422
2017-05-26,15.533332824707031
2017-05-30,15.4622220993042
2017-05-31,15.359999656677246
2017-06-01,15.377778053283691
2017-06-02,15.262222290039062
2017-06-05,15.373332977294922
2017-06-06,15.466667175292969
2017-06-07,15.702221870422363
2017-06-08,16.004444122314453
2017-06-09,16.34666633605957
2017-06-12,16.151111602783203
2017-06-13,16.200000762939453
2017-06-14,16.168888092041016
2017-06-15,16.106666564941406
