Date,VSEC
2011-05-09,12.071798324584961
2011-05-10,12.165030479431152
2011-05-11,12.160592079162598
2011-05-12,12.2316255569458
2011-05-13,12.014076232910156
2011-05-16,11.658890724182129
2011-05-17,11.721051216125488
2011-05-18,11.707734107971191
2011-05-19,11.818726539611816
2011-05-20,11.676651954650879
2011-05-23,11.499061584472656
2011-05-24,10.85973072052002
2011-05-25,10.87748908996582
2011-05-26,11.059523582458496
2011-05-27,11.117239952087402
2011-05-31,11.694412231445312
2011-06-01,11.450222969055176
2011-06-02,11.689971923828125
2011-06-03,11.450222969055176
2011-06-06,11.343667984008789
2011-06-07,11.521262168884277
2011-06-08,11.774327278137207
2011-06-09,11.80984878540039
2011-06-10,11.183837890625
2011-06-13,11.183837890625
2011-06-14,11.44578742980957
2011-06-15,11.281512260437012
2011-06-16,11.59674072265625
2011-06-17,11.685532569885254
2011-06-20,11.8720064163208
2011-06-21,12.151712417602539
2011-06-22,11.9918794631958
2011-06-23,11.41026496887207
2011-06-24,11.308152198791504
2011-06-27,11.254875183105469
2011-06-28,11.112799644470215
2011-06-29,10.952967643737793
2011-06-30,11.055083274841309
2011-07-01,10.784252166748047
2011-07-05,10.770936965942383
2011-07-06,10.757613182067871
2011-07-07,10.668821334838867
2011-07-08,10.61998176574707
2011-07-11,10.673257827758789
2011-07-12,10.59334659576416
2011-07-13,10.624422073364258
2011-07-14,10.273677825927734
2011-07-15,10.233720779418945
2011-07-18,9.882977485656738
2011-07-19,9.736467361450195
2011-07-20,9.674308776855469
2011-07-21,9.59439468383789
2011-07-22,9.962896347045898
2011-07-25,9.802562713623047
2011-07-26,9.713483810424805
2011-07-27,9.352738380432129
2011-07-28,9.82037353515625
2011-07-29,9.375009536743164
2011-08-01,10.457249641418457
2011-08-02,11.949234962463379
2011-08-03,11.806719779968262
2011-08-04,11.098584175109863
2011-08-05,10.626489639282227
2011-08-08,10.194483757019043
2011-08-09,10.568595886230469
2011-08-10,9.695669174194336
2011-08-11,9.664499282836914
2011-08-12,9.6778564453125
2011-08-15,9.602144241333008
2011-08-16,10.550782203674316
2011-08-17,10.769009590148926
2011-08-18,10.510696411132812
2011-08-19,10.207849502563477
2011-08-22,10.270198822021484
2011-08-23,10.488429069519043
2011-08-24,10.461706161499023
2011-08-25,10.368178367614746
2011-08-26,10.48397445678711
2011-08-29,10.586409568786621
2011-08-30,11.267824172973633
2011-08-31,11.054045677185059
