Date,FCF
2010-09-23,3.1827094554901123
2010-09-24,3.371778964996338
2010-09-27,3.3276631832122803
2010-09-28,3.333966016769409
2010-09-29,3.4663162231445312
2010-09-30,3.434804677963257
2010-10-01,3.4852230548858643
2010-10-04,3.4474081993103027
2010-10-05,3.541945457458496
2010-10-06,3.6301798820495605
2010-10-07,3.6112711429595947
2010-10-08,3.573458433151245
2010-10-11,3.4978277683258057
2010-10-12,3.5356428623199463
2010-10-13,3.598665237426758
2010-10-14,3.598665237426758
2010-10-15,3.5482466220855713
2010-10-18,3.6112711429595947
2010-10-19,3.573458433151245
2010-10-20,3.5293405055999756
2010-10-21,3.5041310787200928
2010-10-22,3.4978277683258057
2010-10-25,3.4537110328674316
2010-10-26,3.4915261268615723
2010-10-27,3.535722494125366
