Date,APG
2023-02-10,14.220000267028809
2023-02-13,14.506667137145996
2023-02-14,14.633333206176758
2023-02-15,14.65999984741211
2023-02-16,14.773332595825195
2023-02-17,14.706666946411133
2023-02-21,14.946666717529297
2023-02-22,15.300000190734863
2023-02-23,15.653332710266113
2023-02-24,15.733332633972168
2023-02-27,15.613332748413086
2023-02-28,15.65999984741211
2023-03-01,15.773332595825195
2023-03-02,15.640000343322754
2023-03-03,16.073333740234375
2023-03-06,15.80666732788086
2023-03-07,15.646666526794434
2023-03-08,15.666666984558105
2023-03-09,15.146666526794434
2023-03-10,14.380000114440918
2023-03-13,14.333333015441895
2023-03-14,14.69333267211914
2023-03-15,13.933333396911621
2023-03-16,14.020000457763672
2023-03-17,13.566666603088379
2023-03-20,13.873332977294922
2023-03-21,14.30666732788086
2023-03-22,14.100000381469727
2023-03-23,13.960000038146973
2023-03-24,14.053333282470703
2023-03-27,14.333333015441895
2023-03-28,14.426667213439941
2023-03-29,14.686667442321777
2023-03-30,14.866666793823242
2023-03-31,14.986666679382324
2023-04-03,14.946666717529297
2023-04-04,14.326666831970215
2023-04-05,13.946666717529297
2023-04-06,13.9399995803833
2023-04-10,14.0600004196167
2023-04-11,14.013333320617676
2023-04-12,14.08666706085205
2023-04-13,14.220000267028809
2023-04-14,14.166666984558105
2023-04-17,14.426667213439941
2023-04-18,14.300000190734863
2023-04-19,14.260000228881836
2023-04-20,14.446666717529297
2023-04-21,14.486666679382324
2023-04-24,14.760000228881836
2023-04-25,14.640000343322754
2023-04-26,14.433333396911621
2023-04-27,14.986666679382324
2023-04-28,15.173333168029785
2023-05-01,15.119999885559082
2023-05-02,15.09333324432373
2023-05-03,14.826666831970215
2023-05-04,14.5
2023-05-05,14.993332862854004
2023-05-08,14.706666946411133
2023-05-09,14.713333129882812
2023-05-10,14.893333435058594
2023-05-11,14.880000114440918
2023-05-12,15.0600004196167
2023-05-15,15.079999923706055
2023-05-16,14.920000076293945
2023-05-17,15.520000457763672
2023-05-18,15.713333129882812
2023-05-19,15.386667251586914
2023-05-22,15.5
2023-05-23,15.333333015441895
2023-05-24,14.993332862854004
2023-05-25,15.053333282470703
2023-05-26,15.199999809265137
2023-05-30,15.420000076293945
2023-05-31,15.066666603088379
2023-06-01,15.033332824707031
2023-06-02,15.633333206176758
2023-06-05,15.686667442321777
2023-06-06,16.239999771118164
2023-06-07,16.446666717529297
2023-06-08,16.5
2023-06-09,16.406667709350586
2023-06-12,16.766666412353516
2023-06-13,17.0
2023-06-14,16.946666717529297
2023-06-15,16.886667251586914
2023-06-16,17.053333282470703
2023-06-20,17.02666664123535
2023-06-21,17.219999313354492
2023-06-22,17.133333206176758
2023-06-23,16.959999084472656
2023-06-26,17.126667022705078
2023-06-27,17.51333236694336
2023-06-28,17.746667861938477
2023-06-29,18.15999984741211
2023-06-30,18.17333221435547
2023-07-03,18.126667022705078
