Date,MAS
2016-03-01,25.343936920166016
2016-03-02,25.231107711791992
2016-03-03,25.144315719604492
2016-03-04,25.161666870117188
2016-03-07,25.13563346862793
2016-03-08,25.29186248779297
2016-03-09,25.369976043701172
2016-03-10,25.27450180053711
2016-03-11,25.595643997192383
2016-03-14,25.612998962402344
2016-03-15,25.882064819335938
2016-03-16,26.02093505859375
2016-03-17,26.524341583251953
2016-03-18,26.70660972595215
2016-03-21,26.78472328186035
2016-03-22,26.966995239257812
2016-03-23,26.85416603088379
2016-03-24,26.81076431274414
2016-03-28,27.0798282623291
2016-03-29,27.279455184936523
2016-03-30,27.427001953125
2016-03-31,27.296812057495117
2016-04-01,27.808902740478516
2016-04-04,27.496435165405273
2016-04-05,27.340208053588867
2016-04-06,27.61444091796875
2016-04-07,27.335857391357422
2016-04-08,27.623136520385742
2016-04-11,27.39679527282715
2016-04-12,27.666669845581055
2016-04-13,28.041015625
2016-04-14,27.997486114501953
2016-04-15,28.10195541381836
2016-04-18,28.206424713134766
2016-04-19,28.206424713134766
2016-04-20,28.485010147094727
2016-04-21,28.119361877441406
2016-04-22,28.267366409301758
2016-04-25,28.067142486572266
2016-04-26,27.492551803588867
2016-04-27,27.588321685791016
2016-04-28,27.12691879272461
2016-04-29,26.73516273498535
2016-05-02,27.31844139099121
2016-05-03,26.74386215209961
2016-05-04,26.709049224853516
2016-05-05,26.978918075561523
2016-05-06,27.597028732299805
2016-05-09,27.61444091796875
2016-05-10,28.03231430053711
2016-05-11,27.50126075744629
2016-05-12,27.292325973510742
2016-05-13,27.144336700439453
2016-05-16,27.422910690307617
2016-05-17,27.28362274169922
2016-05-18,27.19655990600586
2016-05-19,27.292325973510742
2016-05-20,27.666669845581055
2016-05-23,27.309741973876953
2016-05-24,28.197715759277344
2016-05-25,28.354419708251953
2016-05-26,28.180301666259766
2016-05-27,28.397951126098633
2016-05-31,28.415363311767578
2016-06-01,28.319599151611328
2016-06-02,27.97136688232422
2016-06-03,27.884315490722656
2016-06-06,27.492551803588867
2016-06-07,27.797258377075195
2016-06-08,27.866905212402344
2016-06-09,27.71890640258789
2016-06-10,27.19655990600586
2016-06-13,26.85704231262207
2016-06-14,26.4739990234375
2016-06-15,26.282468795776367
2016-06-16,26.700332641601562
2016-06-17,26.891864776611328
2016-06-20,27.309741973876953
2016-06-21,27.3010311126709
2016-06-22,27.170448303222656
2016-06-23,27.40550422668457
2016-06-24,26.273767471313477
2016-06-27,25.490249633789062
2016-06-28,26.047412872314453
2016-06-29,26.52623176574707
2016-06-30,26.93539810180664
2016-07-01,27.031164169311523
2016-07-05,26.59587287902832
2016-07-06,27.001953125
2016-07-07,27.24646759033203
2016-07-08,28.137218475341797
2016-07-11,28.643720626831055
2016-07-12,29.16769790649414
2016-07-13,29.473346710205078
2016-07-14,29.709129333496094
2016-07-15,29.761526107788086
2016-07-18,29.60433578491211
2016-07-19,29.508277893066406
2016-07-20,29.979867935180664
2016-07-21,29.12403678894043
2016-07-22,29.508277893066406
2016-07-25,29.892513275146484
