Date,UFPI
2010-09-29,8.236980438232422
2010-09-30,8.239799499511719
2010-10-01,8.310221672058105
2010-10-04,8.259517669677734
2010-10-05,8.541217803955078
2010-10-06,8.532767295837402
2010-10-07,8.46234130859375
2010-10-08,8.524316787719727
2010-10-11,8.69615650177002
2010-10-12,8.890530586242676
2010-10-13,8.890530586242676
2010-10-14,8.47642707824707
2010-10-15,8.439806938171387
2010-10-18,8.577839851379395
2010-10-19,8.515865325927734
2010-10-20,8.448258399963379
2010-10-21,8.504594802856445
2010-10-22,8.46234130859375
2010-10-25,8.521495819091797
2010-10-26,8.59473991394043
2010-10-27,8.541217803955078
2010-10-28,8.572206497192383
2010-10-29,8.49051284790039
2010-11-01,8.518684387207031
2010-11-02,8.831368446350098
2010-11-03,8.760948181152344
