Date,PRTA
2015-12-11,66.62000274658203
2015-12-14,67.36000061035156
2015-12-15,68.45999908447266
2015-12-16,71.83000183105469
2015-12-17,67.43000030517578
2015-12-18,71.02999877929688
2015-12-21,71.0999984741211
2015-12-22,70.16999816894531
2015-12-23,70.51000213623047
2015-12-24,69.98999786376953
2015-12-28,68.83000183105469
2015-12-29,71.23999786376953
2015-12-30,69.77999877929688
2015-12-31,68.11000061035156
2016-01-04,62.220001220703125
2016-01-05,58.9900016784668
2016-01-06,54.61000061035156
2016-01-07,56.2599983215332
2016-01-08,53.869998931884766
2016-01-11,48.43000030517578
2016-01-12,51.560001373291016
2016-01-13,46.119998931884766
2016-01-14,46.5099983215332
2016-01-15,45.81999969482422
2016-01-19,43.349998474121094
2016-01-20,43.09000015258789
2016-01-21,40.099998474121094
2016-01-22,41.56999969482422
2016-01-25,40.970001220703125
2016-01-26,38.5099983215332
2016-01-27,37.65999984741211
2016-01-28,37.06999969482422
2016-01-29,38.95000076293945
2016-02-01,39.45000076293945
2016-02-02,37.13999938964844
2016-02-03,36.75
2016-02-04,36.77000045776367
2016-02-05,34.27000045776367
2016-02-08,31.709999084472656
2016-02-09,30.940000534057617
2016-02-10,31.969999313354492
2016-02-11,30.1200008392334
2016-02-12,31.510000228881836
2016-02-16,31.959999084472656
2016-02-17,34.25
2016-02-18,31.889999389648438
2016-02-19,34.720001220703125
2016-02-22,34.90999984741211
2016-02-23,32.810001373291016
2016-02-24,34.61000061035156
2016-02-25,33.63999938964844
2016-02-26,34.7599983215332
2016-02-29,31.84000015258789
2016-03-01,34.439998626708984
2016-03-02,35.900001525878906
2016-03-03,36.0
2016-03-04,36.060001373291016
2016-03-07,37.900001525878906
2016-03-08,34.689998626708984
2016-03-09,36.040000915527344
2016-03-10,33.65999984741211
2016-03-11,35.0099983215332
2016-03-14,37.83000183105469
2016-03-15,35.58000183105469
2016-03-16,35.20000076293945
2016-03-17,34.130001068115234
2016-03-18,37.31999969482422
2016-03-21,40.619998931884766
2016-03-22,41.15999984741211
2016-03-23,39.63999938964844
2016-03-24,40.310001373291016
2016-03-28,40.459999084472656
2016-03-29,42.209999084472656
2016-03-30,40.27000045776367
2016-03-31,41.15999984741211
2016-04-01,43.08000183105469
2016-04-04,44.16999816894531
2016-04-05,43.47999954223633
2016-04-06,46.880001068115234
2016-04-07,46.59000015258789
2016-04-08,44.709999084472656
2016-04-11,44.09000015258789
2016-04-12,45.369998931884766
2016-04-13,46.66999816894531
2016-04-14,47.15999984741211
2016-04-15,47.33000183105469
2016-04-18,47.63999938964844
2016-04-19,45.619998931884766
