Date,NAT
2013-08-15,3.4542527198791504
2013-08-16,3.304581642150879
2013-08-19,3.1903603076934814
2013-08-20,3.0682590007781982
2013-08-21,3.14703369140625
2013-08-22,3.3163983821868896
2013-08-23,3.2691330909729004
2013-08-26,3.1312787532806396
2013-08-27,3.0721981525421143
2013-08-28,3.1194610595703125
2013-08-29,3.0721981525421143
2013-08-30,3.02887225151062
2013-09-03,3.0525035858154297
2013-09-04,3.0721981525421143
2013-09-05,3.135216474533081
2013-09-06,3.186420202255249
2013-09-09,3.277010202407837
2013-09-10,3.253378391265869
2013-09-11,3.265195369720459
2013-09-12,3.1785430908203125
2013-09-13,3.1430957317352295
2013-09-16,3.1785430908203125
2013-09-17,3.1903603076934814
2013-09-18,3.2021751403808594
2013-09-19,3.3163983821868896
2013-09-20,3.186420202255249
2013-09-23,3.2218689918518066
2013-09-24,3.1746041774749756
2013-09-25,3.513333320617676
2013-09-26,3.4542527198791504
2013-09-27,3.32033634185791
2013-09-30,3.2455015182495117
2013-10-01,3.2612557411193848
2013-10-02,3.2218689918518066
2013-10-03,3.194296360015869
2013-10-04,3.1785430908203125
2013-10-07,3.1746041774749756
2013-10-08,3.1273398399353027
2013-10-09,3.0997684001922607
2013-10-10,3.1785430908203125
2013-10-11,3.2218689918518066
2013-10-14,3.257317066192627
2013-10-15,3.280949115753174
2013-10-16,3.3124594688415527
2013-10-17,3.32033634185791
2013-10-18,3.383354902267456
2013-10-21,3.3400301933288574
2013-10-22,3.4069886207580566
2013-10-23,3.332153797149658
2013-10-24,3.304581642150879
2013-10-25,3.379417896270752
2013-10-28,3.277010202407837
2013-10-29,3.332153797149658
2013-10-30,3.280949115753174
2013-10-31,3.2139909267425537
2013-11-01,3.324274778366089
2013-11-04,3.347907304763794
2013-11-05,3.399110794067383
2013-11-06,3.304581642150879
2013-11-07,3.2258074283599854
2013-11-08,3.32033634185791
2013-11-11,3.5645365715026855
2013-11-12,3.442436695098877
2013-11-13,3.493640661239624
2013-11-14,3.48576283454895
2013-11-15,3.521212100982666
2013-11-18,3.414865255355835
2013-11-19,3.4069886207580566
2013-11-20,3.4030489921569824
2013-11-21,3.497577428817749
2013-11-22,3.1509716510772705
2013-11-25,3.135216474533081
2013-11-26,3.1191394329071045
2013-11-27,3.1151187419891357
2013-11-29,3.255803346633911
2013-12-02,3.2316854000091553
2013-12-03,3.2357046604156494
2013-12-04,3.364328384399414
2013-12-05,3.3884458541870117
2013-12-06,3.223646640777588
2013-12-09,3.1673734188079834
2013-12-10,3.1914901733398438
2013-12-11,3.1673734188079834
2013-12-12,3.2517828941345215
2013-12-13,3.324134111404419
2013-12-16,3.3120758533477783
2013-12-17,3.279918670654297
2013-12-18,3.2678611278533936
2013-12-19,3.456777572631836
2013-12-20,3.641676425933838
2013-12-23,3.9069631099700928
2013-12-24,3.8908846378326416
2013-12-26,3.8989245891571045
2013-12-27,3.894904375076294
2013-12-30,3.8346123695373535
2013-12-31,3.8989245891571045
2014-01-02,3.8547091484069824
2014-01-03,3.8547091484069824
2014-01-06,4.075782775878906
2014-01-07,4.132056713104248
2014-01-08,4.136075496673584
2014-01-09,3.8506906032562256
2014-01-10,3.9632349014282227
2014-01-13,3.9109818935394287
2014-01-14,3.9511783123016357
2014-01-15,4.031567573547363
2014-01-16,4.465675354003906
2014-01-17,4.538025379180908
2014-01-21,5.040464878082275
2014-01-22,4.819390773773193
2014-01-23,4.594300270080566
2014-01-24,4.449596405029297
2014-01-27,4.43351936340332
2014-01-28,4.517927646636963
2014-01-29,4.43351936340332
2014-01-30,4.409402847290039
2014-01-31,4.397342205047607
2014-02-03,4.115976810455322
2014-02-04,4.06774377822876
2014-02-05,4.031567573547363
2014-02-06,4.164210319519043
2014-02-07,4.115976810455322
2014-02-10,3.894904375076294
2014-02-11,3.991372585296631
2014-02-12,4.01146936416626
2014-02-13,4.06774377822876
2014-02-14,4.055684566497803
2014-02-18,4.027209758758545
2014-02-19,3.897038221359253
2014-02-20,4.002801418304443
2014-02-21,4.137043476104736
2014-02-24,4.149245262145996
2014-02-25,4.141111373901367
2014-02-26,4.157382965087891
2014-02-27,4.2184014320373535
2014-02-28,4.2997589111328125
2014-03-03,4.250943660736084
2014-03-04,4.352639675140381
2014-03-05,4.377047538757324
