Date,FTI
2012-08-08,32.46659851074219
2012-08-09,32.61696243286133
2012-08-10,32.883541107177734
2012-08-13,32.58279037475586
2012-08-14,32.528106689453125
2012-08-15,32.30255126953125
2012-08-16,32.65797805786133
2012-08-17,32.787841796875
2012-08-20,32.13850784301758
2012-08-21,32.62379455566406
2012-08-22,32.32989501953125
2012-08-23,32.45976257324219
2012-08-24,32.26837921142578
2012-08-27,32.41191864013672
2012-08-28,32.33673095703125
2012-08-29,32.37773513793945
2012-08-30,31.59853744506836
2012-08-31,32.01547622680664
2012-09-04,32.21370315551758
2012-09-05,32.09750747680664
2012-09-06,32.37773513793945
2012-09-07,33.17744445800781
2012-09-10,32.9040412902832
2012-09-11,33.25946807861328
2012-09-12,33.60122299194336
2012-09-13,33.519203186035156
2012-09-14,34.14802551269531
2012-09-17,33.27996826171875
2012-09-18,33.18428421020508
2012-09-19,33.088592529296875
2012-09-20,33.23212432861328
2012-09-21,33.32781982421875
2012-09-24,33.11592483520508
2012-09-25,32.951881408691406
2012-09-26,32.12484359741211
2012-09-27,31.92662811279297
2012-09-28,31.646385192871094
2012-10-01,32.076995849609375
2012-10-02,31.9471378326416
2012-10-03,30.559614181518555
2012-10-04,30.416074752807617
2012-10-05,29.99913787841797
2012-10-08,30.012807846069336
2012-10-09,29.971792221069336
2012-10-10,29.561691284179688
2012-10-11,30.197364807128906
2012-10-12,30.08799171447754
2012-10-15,30.279375076293945
2012-10-16,30.60063362121582
2012-10-17,31.352479934692383
2012-10-18,31.270458221435547
2012-10-19,30.32722282409668
2012-10-22,30.081159591674805
2012-10-23,29.47967529296875
2012-10-24,27.135238647460938
2012-10-25,27.27193832397461
2012-10-26,27.641033172607422
2012-10-31,27.95545196533203
2012-11-01,28.030635833740234
2012-11-02,27.68888282775879
2012-11-05,28.18784523010254
2012-11-06,28.31770896911621
2012-11-07,27.777740478515625
2012-11-08,27.347126007080078
2012-11-09,27.921274185180664
2012-11-12,28.06481170654297
2012-11-13,27.85976219177246
2012-11-14,27.784576416015625
2012-11-15,27.476991653442383
2012-11-16,27.476991653442383
2012-11-19,28.27669906616211
2012-11-20,27.941783905029297
2012-11-21,28.023799896240234
2012-11-23,28.536434173583984
2012-11-26,28.201515197753906
2012-11-27,27.928112030029297
2012-11-28,28.215190887451172
2012-11-29,28.160507202148438
2012-11-30,27.928112030029297
2012-12-03,28.11949348449707
2012-12-04,28.105823516845703
2012-12-05,28.331382751464844
2012-12-06,28.331382751464844
2012-12-07,28.80983543395996
2012-12-10,28.67996597290039
2012-12-11,28.789325714111328
2012-12-12,28.939701080322266
2012-12-13,28.52276039123535
2012-12-14,27.75040054321289
2012-12-17,27.832416534423828
2012-12-18,28.898685455322266
2012-12-19,28.686800003051758
2012-12-20,28.939701080322266
2012-12-21,28.509090423583984
2012-12-24,28.351884841918945
2012-12-26,28.133159637451172
2012-12-27,28.146833419799805
2012-12-28,27.893932342529297
2012-12-31,29.274616241455078
2013-01-02,29.732561111450195
2013-01-03,29.46600341796875
2013-01-04,29.82825469970703
2013-01-07,29.8624324798584
2013-01-08,29.37030792236328
2013-01-09,29.86927032470703
2013-01-10,30.36823081970215
2013-01-11,30.279375076293945
2013-01-14,30.15634536743164
2013-01-15,31.44133949279785
2013-01-16,31.509687423706055
2013-01-17,31.14059829711914
2013-01-18,31.43450164794922
2013-01-22,31.960805892944336
2013-01-23,31.78992462158203
2013-01-24,31.7967586517334
2013-01-25,31.988147735595703
2013-01-28,32.02232360839844
2013-01-29,32.20003890991211
2013-01-30,31.680561065673828
2013-01-31,32.36407470703125
2013-02-01,32.69899368286133
2013-02-04,32.45976257324219
2013-02-05,32.883541107177734
2013-02-06,32.89720916748047
2013-02-07,32.815185546875
2013-02-08,33.23212432861328
2013-02-11,33.033905029296875
2013-02-12,32.849369049072266
2013-02-13,34.48978042602539
2013-02-14,35.21429443359375
2013-02-15,35.40568161010742
2013-02-19,36.26006317138672
2013-02-20,35.16645050048828
2013-02-21,34.83153533935547
2013-02-22,35.453514099121094
2013-02-25,34.51711654663086
2013-02-26,34.811031341552734
2013-02-27,35.52871322631836
2013-02-28,35.480873107910156
