Date,RIGL
2017-12-04,39.5
2017-12-05,37.29999923706055
2017-12-06,37.29999923706055
2017-12-07,38.79999923706055
2017-12-08,39.79999923706055
2017-12-11,36.79999923706055
2017-12-12,36.099998474121094
2017-12-13,37.20000076293945
2017-12-14,35.70000076293945
2017-12-15,35.599998474121094
2017-12-18,34.099998474121094
2017-12-19,33.5
2017-12-20,33.5
2017-12-21,34.70000076293945
2017-12-22,34.900001525878906
2017-12-26,35.29999923706055
2017-12-27,36.900001525878906
2017-12-28,37.79999923706055
2017-12-29,38.79999923706055
2018-01-02,39.599998474121094
2018-01-03,40.5
2018-01-04,41.400001525878906
2018-01-05,39.599998474121094
2018-01-08,38.5
2018-01-09,40.20000076293945
2018-01-10,41.20000076293945
2018-01-11,41.599998474121094
2018-01-12,40.70000076293945
2018-01-16,39.900001525878906
2018-01-17,40.900001525878906
2018-01-18,40.900001525878906
2018-01-19,42.29999923706055
2018-01-22,45.400001525878906
2018-01-23,44.900001525878906
2018-01-24,43.5
2018-01-25,44.099998474121094
2018-01-26,43.20000076293945
2018-01-29,40.29999923706055
2018-01-30,39.900001525878906
2018-01-31,40.0
2018-02-01,40.099998474121094
2018-02-02,39.70000076293945
2018-02-05,38.79999923706055
2018-02-06,40.29999923706055
2018-02-07,40.79999923706055
2018-02-08,38.20000076293945
2018-02-09,37.900001525878906
2018-02-12,37.79999923706055
2018-02-13,36.70000076293945
2018-02-14,38.0
2018-02-15,39.5
2018-02-16,38.70000076293945
2018-02-20,37.70000076293945
2018-02-21,37.79999923706055
2018-02-22,37.0
2018-02-23,37.29999923706055
2018-02-26,38.20000076293945
2018-02-27,37.900001525878906
2018-02-28,37.599998474121094
2018-03-01,37.0
2018-03-02,38.599998474121094
2018-03-05,39.29999923706055
2018-03-06,38.70000076293945
2018-03-07,44.599998474121094
2018-03-08,44.5
2018-03-09,45.0
2018-03-12,42.5
2018-03-13,41.70000076293945
2018-03-14,42.70000076293945
2018-03-15,42.0
2018-03-16,40.900001525878906
2018-03-19,42.0
2018-03-20,39.400001525878906
2018-03-21,40.400001525878906
2018-03-22,38.900001525878906
2018-03-23,37.099998474121094
2018-03-26,37.5
2018-03-27,37.70000076293945
2018-03-28,37.099998474121094
2018-03-29,35.400001525878906
2018-04-02,35.29999923706055
2018-04-03,30.5
2018-04-04,33.0
2018-04-05,32.20000076293945
2018-04-06,33.29999923706055
2018-04-09,31.100000381469727
2018-04-10,33.400001525878906
2018-04-11,33.5
2018-04-12,39.099998474121094
2018-04-13,39.5
2018-04-16,37.29999923706055
2018-04-17,41.099998474121094
2018-04-18,38.79999923706055
2018-04-19,40.599998474121094
2018-04-20,38.400001525878906
2018-04-23,36.0
2018-04-24,37.29999923706055
2018-04-25,36.900001525878906
2018-04-26,36.5
2018-04-27,36.400001525878906
2018-04-30,36.099998474121094
2018-05-01,37.0
2018-05-02,38.0
2018-05-03,39.0
2018-05-04,38.70000076293945
2018-05-07,38.20000076293945
2018-05-08,36.70000076293945
2018-05-09,37.599998474121094
2018-05-10,37.0
2018-05-11,38.900001525878906
2018-05-14,39.29999923706055
2018-05-15,39.099998474121094
2018-05-16,39.70000076293945
2018-05-17,39.79999923706055
2018-05-18,40.599998474121094
2018-05-21,39.70000076293945
2018-05-22,39.599998474121094
2018-05-23,39.5
2018-05-24,39.5
2018-05-25,39.099998474121094
2018-05-29,36.79999923706055
2018-05-30,33.20000076293945
2018-05-31,32.5
2018-06-01,32.5
2018-06-04,34.400001525878906
2018-06-05,37.70000076293945
2018-06-06,37.900001525878906
2018-06-07,35.20000076293945
2018-06-08,35.5
2018-06-11,32.20000076293945
2018-06-12,33.0
2018-06-13,32.900001525878906
2018-06-14,32.900001525878906
2018-06-15,32.0
2018-06-18,31.700000762939453
2018-06-19,31.399999618530273
2018-06-20,31.600000381469727
2018-06-21,31.899999618530273
2018-06-22,31.799999237060547
2018-06-25,30.399999618530273
2018-06-26,30.799999237060547
2018-06-27,29.100000381469727
2018-06-28,28.5
2018-06-29,28.299999237060547
2018-07-02,29.100000381469727
2018-07-03,29.399999618530273
2018-07-05,30.799999237060547
2018-07-06,30.399999618530273
2018-07-09,29.799999237060547
2018-07-10,29.600000381469727
2018-07-11,29.100000381469727
2018-07-12,28.700000762939453
2018-07-13,28.5
2018-07-16,27.700000762939453
2018-07-17,28.299999237060547
2018-07-18,27.700000762939453
2018-07-19,29.799999237060547
2018-07-20,31.0
2018-07-23,31.600000381469727
2018-07-24,29.899999618530273
2018-07-25,29.700000762939453
2018-07-26,28.899999618530273
2018-07-27,28.100000381469727
2018-07-30,27.799999237060547
2018-07-31,28.200000762939453
2018-08-01,28.5
2018-08-02,28.100000381469727
2018-08-03,26.5
2018-08-06,27.5
2018-08-07,27.399999618530273
2018-08-08,26.799999237060547
2018-08-09,30.200000762939453
2018-08-10,27.899999618530273
2018-08-13,27.700000762939453
2018-08-14,27.600000381469727
2018-08-15,27.0
2018-08-16,27.0
2018-08-17,26.200000762939453
2018-08-20,26.0
2018-08-21,26.799999237060547
2018-08-22,28.200000762939453
2018-08-23,28.0
2018-08-24,28.100000381469727
2018-08-27,28.700000762939453
2018-08-28,32.5
2018-08-29,32.5
2018-08-30,33.099998474121094
2018-08-31,34.099998474121094
2018-09-04,34.29999923706055
2018-09-05,32.70000076293945
2018-09-06,32.0
2018-09-07,32.0
2018-09-10,32.79999923706055
2018-09-11,32.0
2018-09-12,31.100000381469727
2018-09-13,31.899999618530273
2018-09-14,32.099998474121094
2018-09-17,34.099998474121094
2018-09-18,35.20000076293945
2018-09-19,35.900001525878906
2018-09-20,33.20000076293945
2018-09-21,32.400001525878906
2018-09-24,33.0
2018-09-25,32.400001525878906
2018-09-26,30.799999237060547
2018-09-27,30.600000381469727
2018-09-28,32.099998474121094
2018-10-01,31.399999618530273
2018-10-02,31.5
2018-10-03,32.099998474121094
2018-10-04,33.5
2018-10-05,33.599998474121094
2018-10-08,32.400001525878906
2018-10-09,31.600000381469727
2018-10-10,30.5
2018-10-11,31.0
2018-10-12,31.0
2018-10-15,30.100000381469727
2018-10-16,31.899999618530273
2018-10-17,31.600000381469727
2018-10-18,30.5
2018-10-19,29.799999237060547
2018-10-22,29.100000381469727
2018-10-23,28.899999618530273
2018-10-24,27.299999237060547
2018-10-25,28.700000762939453
2018-10-26,28.399999618530273
2018-10-29,28.200000762939453
2018-10-30,28.0
2018-10-31,28.700000762939453
2018-11-01,29.5
2018-11-02,30.299999237060547
2018-11-05,29.299999237060547
2018-11-06,28.899999618530273
2018-11-07,31.399999618530273
2018-11-08,30.799999237060547
2018-11-09,28.5
2018-11-12,27.0
2018-11-13,26.899999618530273
2018-11-14,26.0
2018-11-15,27.5
2018-11-16,28.600000381469727
2018-11-19,26.700000762939453
2018-11-20,26.799999237060547
2018-11-21,27.600000381469727
2018-11-23,27.5
2018-11-26,27.399999618530273
2018-11-27,26.700000762939453
2018-11-28,28.200000762939453
2018-11-29,27.899999618530273
2018-11-30,28.299999237060547
2018-12-03,30.799999237060547
2018-12-04,28.700000762939453
2018-12-06,28.200000762939453
2018-12-07,27.100000381469727
2018-12-10,27.5
2018-12-11,27.600000381469727
2018-12-12,28.5
2018-12-13,27.600000381469727
2018-12-14,27.299999237060547
2018-12-17,27.0
2018-12-18,25.700000762939453
2018-12-19,24.899999618530273
2018-12-20,24.0
2018-12-21,21.399999618530273
2018-12-24,20.799999237060547
2018-12-26,21.5
2018-12-27,22.299999237060547
2018-12-28,22.399999618530273
2018-12-31,23.0
2019-01-02,23.600000381469727
2019-01-03,21.700000762939453
2019-01-04,23.600000381469727
2019-01-07,24.799999237060547
2019-01-08,24.0
2019-01-09,23.899999618530273
2019-01-10,23.0
2019-01-11,22.0
2019-01-14,21.299999237060547
2019-01-15,22.0
2019-01-16,21.399999618530273
2019-01-17,21.0
2019-01-18,20.899999618530273
2019-01-22,20.200000762939453
2019-01-23,20.0
2019-01-24,20.899999618530273
2019-01-25,21.299999237060547
2019-01-28,20.799999237060547
2019-01-29,20.399999618530273
2019-01-30,21.700000762939453
2019-01-31,21.600000381469727
2019-02-01,22.399999618530273
2019-02-04,22.0
2019-02-05,22.399999618530273
2019-02-06,23.0
2019-02-07,22.200000762939453
2019-02-08,21.600000381469727
2019-02-11,21.899999618530273
2019-02-12,22.5
2019-02-13,22.600000381469727
2019-02-14,22.700000762939453
2019-02-15,24.0
2019-02-19,23.899999618530273
2019-02-20,23.5
2019-02-21,23.600000381469727
2019-02-22,23.5
2019-02-25,23.600000381469727
2019-02-26,22.5
2019-02-27,22.600000381469727
2019-02-28,21.899999618530273
2019-03-01,22.399999618530273
2019-03-04,22.100000381469727
2019-03-05,22.200000762939453
2019-03-06,21.399999618530273
2019-03-07,22.200000762939453
2019-03-08,21.700000762939453
2019-03-11,23.899999618530273
2019-03-12,23.299999237060547
2019-03-13,23.399999618530273
2019-03-14,23.0
2019-03-15,24.200000762939453
2019-03-18,25.700000762939453
2019-03-19,25.600000381469727
2019-03-20,25.700000762939453
2019-03-21,26.5
2019-03-22,24.5
2019-03-25,24.799999237060547
2019-03-26,24.799999237060547
2019-03-27,24.299999237060547
2019-03-28,24.700000762939453
2019-03-29,25.700000762939453
2019-04-01,24.200000762939453
2019-04-02,24.100000381469727
2019-04-03,24.700000762939453
2019-04-04,24.5
2019-04-05,25.299999237060547
2019-04-08,25.0
2019-04-09,23.799999237060547
2019-04-10,24.5
2019-04-11,23.899999618530273
2019-04-12,24.700000762939453
2019-04-15,24.200000762939453
2019-04-16,24.799999237060547
2019-04-17,23.200000762939453
2019-04-18,23.700000762939453
2019-04-22,22.5
2019-04-23,23.5
2019-04-24,23.0
2019-04-25,22.799999237060547
2019-04-26,23.399999618530273
2019-04-29,22.799999237060547
2019-04-30,22.299999237060547
2019-05-01,22.100000381469727
2019-05-02,22.600000381469727
2019-05-03,23.0
2019-05-06,23.799999237060547
2019-05-07,23.200000762939453
2019-05-08,22.5
2019-05-09,22.399999618530273
2019-05-10,22.200000762939453
2019-05-13,21.5
2019-05-14,21.700000762939453
2019-05-15,22.100000381469727
2019-05-16,21.899999618530273
2019-05-17,21.5
2019-05-20,20.399999618530273
2019-05-21,21.600000381469727
2019-05-22,20.5
2019-05-23,20.200000762939453
2019-05-24,21.399999618530273
2019-05-28,20.899999618530273
2019-05-29,21.299999237060547
2019-05-30,21.299999237060547
2019-05-31,21.299999237060547
2019-06-03,21.399999618530273
2019-06-04,21.799999237060547
2019-06-05,21.0
2019-06-06,20.299999237060547
2019-06-07,21.0
2019-06-10,20.700000762939453
2019-06-11,20.299999237060547
2019-06-12,20.5
2019-06-13,21.200000762939453
2019-06-14,20.600000381469727
2019-06-17,22.299999237060547
2019-06-18,23.399999618530273
2019-06-19,22.899999618530273
2019-06-20,22.700000762939453
2019-06-21,23.0
2019-06-24,22.100000381469727
2019-06-25,22.200000762939453
2019-06-26,23.600000381469727
2019-06-27,24.5
2019-06-28,26.100000381469727
2019-07-01,25.299999237060547
2019-07-02,24.799999237060547
2019-07-03,25.899999618530273
2019-07-05,25.600000381469727
2019-07-08,25.600000381469727
2019-07-09,26.200000762939453
2019-07-10,25.700000762939453
2019-07-11,25.299999237060547
2019-07-12,25.200000762939453
2019-07-15,25.100000381469727
2019-07-16,25.0
2019-07-17,24.899999618530273
2019-07-18,24.899999618530273
2019-07-19,24.100000381469727
2019-07-22,24.299999237060547
2019-07-23,24.100000381469727
2019-07-24,24.5
2019-07-25,22.899999618530273
2019-07-26,22.700000762939453
2019-07-29,22.700000762939453
2019-07-30,23.0
2019-07-31,22.799999237060547
2019-08-01,22.799999237060547
2019-08-02,21.5
2019-08-05,21.0
2019-08-06,21.700000762939453
2019-08-07,22.700000762939453
2019-08-08,22.100000381469727
2019-08-09,21.399999618530273
2019-08-12,20.600000381469727
2019-08-13,20.100000381469727
2019-08-14,19.600000381469727
2019-08-15,19.200000762939453
2019-08-16,19.399999618530273
2019-08-19,19.899999618530273
2019-08-20,19.299999237060547
2019-08-21,19.399999618530273
2019-08-22,19.0
2019-08-23,17.799999237060547
2019-08-26,18.100000381469727
2019-08-27,17.399999618530273
2019-08-28,17.899999618530273
2019-08-29,18.0
2019-08-30,16.899999618530273
2019-09-03,16.299999237060547
2019-09-04,17.399999618530273
2019-09-05,17.700000762939453
2019-09-06,16.799999237060547
2019-09-09,17.299999237060547
2019-09-10,18.299999237060547
2019-09-11,18.299999237060547
2019-09-12,16.5
2019-09-13,16.5
2019-09-16,16.799999237060547
2019-09-17,16.600000381469727
2019-09-18,17.0
2019-09-19,17.100000381469727
2019-09-20,16.899999618530273
2019-09-23,17.5
2019-09-24,17.0
2019-09-25,17.100000381469727
2019-09-26,17.700000762939453
2019-09-27,18.299999237060547
2019-09-30,18.700000762939453
2019-10-01,17.299999237060547
2019-10-02,17.0
2019-10-03,17.100000381469727
2019-10-04,17.200000762939453
2019-10-07,16.899999618530273
2019-10-08,16.299999237060547
2019-10-09,16.100000381469727
2019-10-10,16.600000381469727
2019-10-11,16.600000381469727
2019-10-14,16.600000381469727
2019-10-15,16.899999618530273
2019-10-16,16.399999618530273
2019-10-17,16.0
2019-10-18,16.399999618530273
2019-10-21,16.799999237060547
2019-10-22,16.899999618530273
2019-10-23,17.5
2019-10-24,20.5
2019-10-25,21.0
2019-10-28,23.100000381469727
2019-10-29,21.700000762939453
2019-10-30,21.399999618530273
2019-10-31,20.5
2019-11-01,21.600000381469727
2019-11-04,21.5
2019-11-05,21.700000762939453
2019-11-06,21.100000381469727
2019-11-07,21.200000762939453
2019-11-08,22.5
2019-11-11,23.100000381469727
2019-11-12,22.700000762939453
2019-11-13,23.399999618530273
2019-11-14,22.899999618530273
2019-11-15,23.399999618530273
2019-11-18,22.5
2019-11-19,22.700000762939453
2019-11-20,23.5
2019-11-21,22.399999618530273
2019-11-22,23.0
2019-11-25,23.299999237060547
2019-11-26,24.299999237060547
2019-11-27,23.700000762939453
2019-11-29,22.399999618530273
2019-12-02,21.799999237060547
2019-12-03,22.200000762939453
2019-12-04,21.399999618530273
2019-12-05,20.399999618530273
2019-12-06,21.700000762939453
2019-12-09,21.600000381469727
2019-12-10,22.5
2019-12-11,22.799999237060547
2019-12-12,22.600000381469727
2019-12-13,22.299999237060547
2019-12-16,21.899999618530273
2019-12-17,21.799999237060547
2019-12-18,20.399999618530273
2019-12-19,20.5
2019-12-20,21.100000381469727
2019-12-23,21.399999618530273
2019-12-24,21.399999618530273
2019-12-26,21.0
2019-12-27,20.799999237060547
2019-12-30,21.0
2019-12-31,21.399999618530273
2020-01-02,20.200000762939453
2020-01-03,20.5
2020-01-06,21.0
2020-01-07,21.200000762939453
2020-01-08,21.600000381469727
2020-01-09,21.600000381469727
2020-01-10,20.799999237060547
2020-01-13,21.700000762939453
2020-01-14,26.200000762939453
2020-01-15,27.200000762939453
2020-01-16,29.899999618530273
2020-01-17,28.799999237060547
2020-01-21,30.0
2020-01-22,27.200000762939453
2020-01-23,26.5
2020-01-24,25.200000762939453
2020-01-27,24.600000381469727
2020-01-28,24.899999618530273
2020-01-29,24.100000381469727
2020-01-30,23.399999618530273
2020-01-31,22.600000381469727
2020-02-03,23.399999618530273
2020-02-04,24.0
2020-02-05,25.399999618530273
2020-02-06,24.200000762939453
2020-02-07,23.0
2020-02-10,23.0
2020-02-11,23.0
2020-02-12,23.5
2020-02-13,22.5
2020-02-14,22.200000762939453
2020-02-18,22.5
2020-02-19,23.100000381469727
2020-02-20,23.100000381469727
2020-02-21,23.0
2020-02-24,22.0
2020-02-25,21.5
2020-02-26,21.700000762939453
2020-02-27,20.399999618530273
2020-02-28,21.200000762939453
2020-03-02,21.600000381469727
2020-03-03,21.799999237060547
2020-03-04,23.299999237060547
2020-03-05,22.399999618530273
2020-03-06,22.200000762939453
2020-03-09,19.700000762939453
2020-03-10,20.0
2020-03-11,18.100000381469727
2020-03-12,15.699999809265137
2020-03-13,16.299999237060547
2020-03-16,14.600000381469727
2020-03-17,14.600000381469727
2020-03-18,12.699999809265137
2020-03-19,14.100000381469727
2020-03-20,13.199999809265137
2020-03-23,14.300000190734863
2020-03-24,15.5
2020-03-25,15.100000381469727
2020-03-26,16.0
2020-03-27,15.699999809265137
2020-03-30,15.300000190734863
2020-03-31,15.600000381469727
2020-04-01,14.100000381469727
