Date,NGNE
2018-04-26,254.0
2018-04-27,243.8000030517578
2018-04-30,243.8000030517578
2018-05-01,251.39999389648438
2018-05-02,255.8000030517578
2018-05-03,255.39999389648438
2018-05-04,256.0
2018-05-07,262.0
2018-05-08,262.20001220703125
2018-05-09,251.1999969482422
2018-05-10,255.8000030517578
2018-05-11,254.8000030517578
2018-05-14,248.39999389648438
2018-05-15,256.0
2018-05-16,264.20001220703125
2018-05-17,261.3999938964844
2018-05-18,253.60000610351562
2018-05-21,250.1999969482422
2018-05-22,247.39999389648438
2018-05-23,254.8000030517578
2018-05-24,251.1999969482422
2018-05-25,263.20001220703125
2018-05-29,262.6000061035156
2018-05-30,265.0
2018-05-31,286.79998779296875
2018-06-01,291.79998779296875
2018-06-04,290.0
2018-06-05,300.6000061035156
2018-06-06,298.3999938964844
2018-06-07,289.20001220703125
2018-06-08,282.6000061035156
2018-06-11,274.6000061035156
2018-06-12,282.79998779296875
2018-06-13,290.6000061035156
2018-06-14,298.79998779296875
2018-06-15,305.79998779296875
2018-06-18,314.3999938964844
2018-06-19,305.6000061035156
2018-06-20,312.79998779296875
2018-06-21,294.3999938964844
2018-06-22,310.20001220703125
2018-06-25,308.20001220703125
2018-06-26,306.20001220703125
2018-06-27,46.79999923706055
2018-06-28,45.20000076293945
2018-06-29,53.0
2018-07-02,51.400001525878906
2018-07-03,54.0
2018-07-05,54.599998474121094
2018-07-06,57.0
2018-07-09,58.0
2018-07-10,54.599998474121094
2018-07-11,54.0
2018-07-12,54.20000076293945
2018-07-13,53.0
2018-07-16,50.599998474121094
2018-07-17,59.599998474121094
2018-07-18,58.20000076293945
2018-07-19,63.400001525878906
2018-07-20,60.20000076293945
2018-07-23,62.0
2018-07-24,59.400001525878906
2018-07-25,58.79999923706055
2018-07-26,60.400001525878906
2018-07-27,58.20000076293945
2018-07-30,58.0
2018-07-31,59.20000076293945
2018-08-01,60.400001525878906
2018-08-02,60.20000076293945
2018-08-03,60.0
2018-08-06,61.20000076293945
2018-08-07,61.400001525878906
2018-08-08,60.79999923706055
2018-08-09,63.400001525878906
2018-08-10,62.20000076293945
2018-08-13,65.0
2018-08-14,65.19999694824219
2018-08-15,57.0
2018-08-16,61.79999923706055
2018-08-17,60.20000076293945
2018-08-20,61.0
2018-08-21,60.0
2018-08-22,60.20000076293945
2018-08-23,60.20000076293945
2018-08-24,63.599998474121094
2018-08-27,60.599998474121094
2018-08-28,63.400001525878906
2018-08-29,61.79999923706055
2018-08-30,61.599998474121094
2018-08-31,62.400001525878906
2018-09-04,61.20000076293945
2018-09-05,60.599998474121094
2018-09-06,59.0
2018-09-07,59.0
2018-09-10,60.20000076293945
2018-09-11,59.79999923706055
2018-09-12,57.0
2018-09-13,57.400001525878906
2018-09-14,56.20000076293945
2018-09-17,54.20000076293945
2018-09-18,56.79999923706055
2018-09-19,55.400001525878906
2018-09-20,57.400001525878906
2018-09-21,58.599998474121094
2018-09-24,58.20000076293945
2018-09-25,58.0
2018-09-26,57.79999923706055
2018-09-27,58.400001525878906
2018-09-28,58.599998474121094
2018-10-01,57.20000076293945
2018-10-02,55.79999923706055
2018-10-03,57.0
2018-10-04,55.599998474121094
2018-10-05,54.79999923706055
2018-10-08,55.0
2018-10-09,53.599998474121094
2018-10-10,52.400001525878906
2018-10-11,53.400001525878906
2018-10-12,52.20000076293945
2018-10-15,52.0
2018-10-16,52.599998474121094
2018-10-17,52.20000076293945
2018-10-18,53.20000076293945
2018-10-19,51.79999923706055
2018-10-22,51.0
2018-10-23,53.400001525878906
2018-10-24,51.400001525878906
2018-10-25,52.20000076293945
2018-10-26,53.0
2018-10-29,51.400001525878906
2018-10-30,51.20000076293945
