Date,CIVI
2019-07-29,15.074893951416016
2019-07-30,15.102758407592773
2019-07-31,15.186351776123047
2019-08-01,14.371304512023926
2019-08-02,14.663886070251465
2019-08-05,14.294676780700684
2019-08-06,14.141419410705566
2019-08-07,14.343440055847168
2019-08-08,15.346575736999512
2019-08-09,15.095793724060059
2019-08-12,15.520735740661621
2019-08-13,15.813313484191895
2019-08-14,15.367474555969238
2019-08-15,14.601188659667969
2019-08-16,15.869044303894043
2019-08-19,16.3706111907959
2019-08-20,16.3706111907959
2019-08-21,15.61129379272461
2019-08-22,15.78545093536377
2019-08-23,14.998268127441406
2019-08-26,15.186351776123047
2019-08-27,14.817145347595215
2019-08-28,15.51376724243164
2019-08-29,15.74365234375
2019-08-30,15.715784072875977
2019-09-03,14.879838943481445
2019-09-04,15.6948881149292
2019-09-05,16.133764266967773
2019-09-06,15.896910667419434
2019-09-09,16.774654388427734
2019-09-10,16.900039672851562
2019-09-11,16.9906063079834
2019-09-12,16.461172103881836
2019-09-13,16.40544319152832
2019-09-16,18.112163543701172
2019-09-17,17.83351707458496
2019-09-18,17.429473876953125
2019-09-19,16.642292022705078
2019-09-20,16.816450119018555
2019-09-23,17.067232131958008
2019-09-24,16.642292022705078
2019-09-25,16.363645553588867
2019-09-26,16.273082733154297
2019-09-27,15.869044303894043
2019-09-30,15.597359657287598
2019-10-01,15.444103240966797
2019-10-02,15.158490180969238
2019-10-03,15.262981414794922
2019-10-04,15.61129379272461
2019-10-07,15.492864608764648
2019-10-08,15.095793724060059
2019-10-09,15.026128768920898
2019-10-10,15.353546142578125
2019-10-11,15.465002059936523
2019-10-14,13.93243408203125
2019-10-15,14.273778915405273
2019-10-16,13.667717933654785
2019-10-17,13.639853477478027
2019-10-18,13.068623542785645
2019-10-21,13.12435245513916
2019-10-22,13.277610778808594
2019-10-23,13.29850959777832
2019-10-24,12.99199390411377
2019-10-25,12.943232536315918
2019-10-28,12.67851734161377
2019-10-29,12.817839622497559
2019-10-30,12.406831741333008
2019-10-31,12.413800239562988
2019-11-01,12.783008575439453
2019-11-04,13.549295425415039
2019-11-05,13.6189546585083
2019-11-06,13.075589179992676
2019-11-07,13.549295425415039
2019-11-08,13.605025291442871
2019-11-11,13.563225746154785
2019-11-12,13.44479751586914
2019-11-13,13.284575462341309
2019-11-14,13.242778778076172
2019-11-15,13.242778778076172
2019-11-18,12.643682479858398
2019-11-19,12.142117500305176
2019-11-20,11.877400398254395
2019-11-21,11.891331672668457
2019-11-22,12.009757995605469
2019-11-25,12.413800239562988
2019-11-26,12.358072280883789
2019-11-27,12.497395515441895
2019-11-29,12.163015365600586
2019-12-02,12.239641189575195
2019-12-03,12.399867057800293
2019-12-04,12.622785568237305
2019-12-05,12.427730560302734
2019-12-06,13.103453636169434
2019-12-09,13.284575462341309
2019-12-10,13.695586204528809
2019-12-11,13.521429061889648
2019-12-12,13.667717933654785
2019-12-13,13.625919342041016
2019-12-16,14.022994041442871
2019-12-17,14.608158111572266
2019-12-18,14.817145347595215
2019-12-19,15.24904727935791
2019-12-20,15.771517753601074
2019-12-23,16.168590545654297
2019-12-24,16.293981552124023
2019-12-26,16.614429473876953
2019-12-27,16.300949096679688
2019-12-30,16.022302627563477
2019-12-31,16.259153366088867
2020-01-02,16.15465545654297
2020-01-03,16.879146575927734
2020-01-06,17.722057342529297
2020-01-07,16.9906063079834
2020-01-08,15.869044303894043
2020-01-09,15.76455020904541
2020-01-10,15.687919616699219
2020-01-13,15.221185684204102
2020-01-14,14.70568561553955
2020-01-15,14.454902648925781
2020-01-16,14.197152137756348
2020-01-17,13.925466537475586
2020-01-21,13.256714820861816
2020-01-22,12.567057609558105
2020-01-23,12.371999740600586
2020-01-24,11.856502532958984
2020-01-27,11.522125244140625
2020-01-28,11.926163673400879
2020-01-29,12.748177528381348
2020-01-30,12.887504577636719
2020-01-31,12.671550750732422
2020-02-03,12.748177528381348
2020-02-04,12.734248161315918
2020-02-05,13.479631423950195
2020-02-06,13.375138282775879
2020-02-07,13.27064037322998
2020-02-10,12.643682479858398
2020-02-11,12.337172508239746
2020-02-12,12.176946640014648
