Date,DY
2012-07-02,19.0
2012-07-03,19.510000228881836
2012-07-05,19.43000030517578
2012-07-06,19.149999618530273
2012-07-09,19.139999389648438
2012-07-10,19.0
2012-07-11,18.31999969482422
2012-07-12,18.25
2012-07-13,17.93000030517578
2012-07-16,17.850000381469727
2012-07-17,17.690000534057617
2012-07-18,17.600000381469727
2012-07-19,16.75
2012-07-20,17.06999969482422
2012-07-23,17.0
2012-07-24,16.81999969482422
2012-07-25,17.0
2012-07-26,17.280000686645508
2012-07-27,17.68000030517578
2012-07-30,17.600000381469727
2012-07-31,17.420000076293945
2012-08-01,16.81999969482422
2012-08-02,17.059999465942383
2012-08-03,17.489999771118164
2012-08-06,18.079999923706055
2012-08-07,18.209999084472656
2012-08-08,18.040000915527344
2012-08-09,18.049999237060547
2012-08-10,18.079999923706055
2012-08-13,17.920000076293945
2012-08-14,17.75
2012-08-15,18.56999969482422
2012-08-16,19.219999313354492
2012-08-17,19.3799991607666
2012-08-20,19.229999542236328
2012-08-21,19.350000381469727
2012-08-22,18.790000915527344
2012-08-23,18.81999969482422
2012-08-24,18.520000457763672
2012-08-27,18.280000686645508
2012-08-28,18.8799991607666
2012-08-29,15.279999732971191
2012-08-30,14.800000190734863
2012-08-31,14.520000457763672
2012-09-04,13.399999618530273
2012-09-05,13.09000015258789
2012-09-06,13.300000190734863
2012-09-07,13.760000228881836
2012-09-10,14.15999984741211
2012-09-11,14.369999885559082
2012-09-12,14.630000114440918
2012-09-13,14.890000343322754
2012-09-14,14.760000228881836
2012-09-17,14.699999809265137
2012-09-18,14.90999984741211
2012-09-19,15.0
2012-09-20,14.920000076293945
2012-09-21,14.850000381469727
2012-09-24,14.770000457763672
2012-09-25,14.239999771118164
2012-09-26,14.350000381469727
2012-09-27,14.550000190734863
2012-09-28,14.380000114440918
2012-10-01,14.149999618530273
2012-10-02,14.399999618530273
2012-10-03,14.039999961853027
2012-10-04,14.15999984741211
2012-10-05,14.170000076293945
2012-10-08,14.1899995803833
2012-10-09,13.609999656677246
2012-10-10,13.600000381469727
2012-10-11,13.609999656677246
2012-10-12,13.579999923706055
2012-10-15,13.199999809265137
2012-10-16,13.649999618530273
2012-10-17,13.729999542236328
2012-10-18,13.670000076293945
2012-10-19,13.829999923706055
2012-10-22,13.760000228881836
2012-10-23,13.649999618530273
2012-10-24,13.850000381469727
2012-10-25,13.930000305175781
2012-10-26,14.069999694824219
2012-10-31,14.239999771118164
2012-11-01,14.449999809265137
2012-11-02,14.199999809265137
2012-11-05,14.25
2012-11-06,14.65999984741211
2012-11-07,15.430000305175781
2012-11-08,15.300000190734863
2012-11-09,15.15999984741211
2012-11-12,14.989999771118164
2012-11-13,14.949999809265137
2012-11-14,14.710000038146973
2012-11-15,14.619999885559082
2012-11-16,15.329999923706055
2012-11-19,15.390000343322754
2012-11-20,17.6200008392334
2012-11-21,17.440000534057617
2012-11-23,17.399999618530273
2012-11-26,17.739999771118164
2012-11-27,17.649999618530273
2012-11-28,17.950000762939453
2012-11-29,18.030000686645508
2012-11-30,17.959999084472656
2012-12-03,18.290000915527344
2012-12-04,18.440000534057617
2012-12-05,18.170000076293945
2012-12-06,18.610000610351562
2012-12-07,18.59000015258789
2012-12-10,18.790000915527344
2012-12-11,19.1299991607666
2012-12-12,19.1299991607666
2012-12-13,19.229999542236328
2012-12-14,18.670000076293945
2012-12-17,19.360000610351562
2012-12-18,19.729999542236328
2012-12-19,19.530000686645508
2012-12-20,19.610000610351562
2012-12-21,19.59000015258789
2012-12-24,19.760000228881836
2012-12-26,19.649999618530273
2012-12-27,19.56999969482422
2012-12-28,19.6200008392334
2012-12-31,19.799999237060547
2013-01-02,20.399999618530273
2013-01-03,20.1200008392334
2013-01-04,20.350000381469727
2013-01-07,20.219999313354492
2013-01-08,20.030000686645508
2013-01-09,20.15999984741211
2013-01-10,20.149999618530273
2013-01-11,19.959999084472656
2013-01-14,20.040000915527344
2013-01-15,20.170000076293945
2013-01-16,20.459999084472656
2013-01-17,20.889999389648438
2013-01-18,20.719999313354492
2013-01-22,21.239999771118164
2013-01-23,20.989999771118164
2013-01-24,21.329999923706055
2013-01-25,21.510000228881836
2013-01-28,21.59000015258789
2013-01-29,21.510000228881836
2013-01-30,20.729999542236328
2013-01-31,20.979999542236328
2013-02-01,20.950000762939453
2013-02-04,20.459999084472656
2013-02-05,20.68000030517578
2013-02-06,20.75
2013-02-07,20.389999389648438
2013-02-08,20.40999984741211
2013-02-11,20.0
2013-02-12,20.0
2013-02-13,20.020000457763672
2013-02-14,19.850000381469727
2013-02-15,20.280000686645508
2013-02-19,21.15999984741211
2013-02-20,21.229999542236328
2013-02-21,21.299999237060547
2013-02-22,21.399999618530273
2013-02-25,21.25
2013-02-26,21.5
2013-02-27,21.8799991607666
2013-02-28,20.950000762939453
2013-03-01,20.399999618530273
2013-03-04,20.09000015258789
2013-03-05,20.459999084472656
2013-03-06,21.049999237060547
2013-03-07,21.200000762939453
2013-03-08,21.6200008392334
2013-03-11,21.360000610351562
2013-03-12,21.100000381469727
2013-03-13,21.1200008392334
2013-03-14,21.510000228881836
2013-03-15,21.06999969482422
2013-03-18,20.860000610351562
2013-03-19,20.31999969482422
2013-03-20,20.399999618530273
2013-03-21,20.170000076293945
2013-03-22,20.299999237060547
2013-03-25,20.260000228881836
2013-03-26,20.100000381469727
2013-03-27,19.649999618530273
2013-03-28,19.690000534057617
2013-04-01,19.139999389648438
2013-04-02,18.889999389648438
2013-04-03,18.469999313354492
2013-04-04,18.40999984741211
2013-04-05,18.280000686645508
2013-04-08,18.760000228881836
2013-04-09,18.950000762939453
2013-04-10,19.110000610351562
2013-04-11,19.170000076293945
2013-04-12,19.020000457763672
2013-04-15,18.25
2013-04-16,18.610000610351562
2013-04-17,18.59000015258789
2013-04-18,18.709999084472656
2013-04-19,18.600000381469727
2013-04-22,18.760000228881836
2013-04-23,19.309999465942383
2013-04-24,19.31999969482422
2013-04-25,19.6299991607666
2013-04-26,19.06999969482422
2013-04-29,19.260000228881836
2013-04-30,19.31999969482422
2013-05-01,18.469999313354492
2013-05-02,18.969999313354492
2013-05-03,19.739999771118164
2013-05-06,19.579999923706055
2013-05-07,19.420000076293945
2013-05-08,19.270000457763672
2013-05-09,19.229999542236328
2013-05-10,19.34000015258789
2013-05-13,19.040000915527344
2013-05-14,19.489999771118164
2013-05-15,19.8700008392334
2013-05-16,19.989999771118164
2013-05-17,20.09000015258789
2013-05-20,20.34000015258789
2013-05-21,20.40999984741211
2013-05-22,22.15999984741211
2013-05-23,22.229999542236328
2013-05-24,22.299999237060547
2013-05-28,22.639999389648438
2013-05-29,22.450000762939453
2013-05-30,22.959999084472656
2013-05-31,22.75
2013-06-03,23.3799991607666
2013-06-04,23.239999771118164
2013-06-05,22.889999389648438
2013-06-06,22.860000610351562
2013-06-07,23.350000381469727
2013-06-10,23.0
2013-06-11,22.469999313354492
2013-06-12,22.190000534057617
2013-06-13,22.65999984741211
2013-06-14,22.170000076293945
2013-06-17,23.530000686645508
2013-06-18,24.100000381469727
2013-06-19,23.549999237060547
2013-06-20,22.709999084472656
2013-06-21,22.65999984741211
2013-06-24,22.18000030517578
2013-06-25,22.459999084472656
2013-06-26,22.690000534057617
2013-06-27,23.1299991607666
2013-06-28,23.139999389648438
2013-07-01,23.350000381469727
2013-07-02,23.6200008392334
2013-07-03,23.610000610351562
2013-07-05,24.200000762939453
2013-07-08,23.969999313354492
2013-07-09,24.309999465942383
2013-07-10,24.559999465942383
2013-07-11,24.989999771118164
2013-07-12,24.920000076293945
2013-07-15,25.110000610351562
2013-07-16,24.90999984741211
2013-07-17,25.09000015258789
2013-07-18,25.690000534057617
2013-07-19,25.8700008392334
2013-07-22,25.850000381469727
2013-07-23,25.8799991607666
2013-07-24,26.450000762939453
2013-07-25,26.770000457763672
2013-07-26,26.479999542236328
2013-07-29,25.989999771118164
2013-07-30,26.280000686645508
2013-07-31,26.479999542236328
2013-08-01,27.0
2013-08-02,26.979999542236328
2013-08-05,27.3700008392334
2013-08-06,26.639999389648438
2013-08-07,26.020000457763672
2013-08-08,26.489999771118164
2013-08-09,26.219999313354492
2013-08-12,26.540000915527344
2013-08-13,26.440000534057617
2013-08-14,26.610000610351562
2013-08-15,26.1200008392334
2013-08-16,26.030000686645508
2013-08-19,25.459999084472656
2013-08-20,25.8700008392334
2013-08-21,25.700000762939453
2013-08-22,26.489999771118164
2013-08-23,26.3799991607666
2013-08-26,26.84000015258789
2013-08-27,26.31999969482422
2013-08-28,24.770000457763672
2013-08-29,25.700000762939453
2013-08-30,25.40999984741211
2013-09-03,25.34000015258789
2013-09-04,25.90999984741211
2013-09-05,26.15999984741211
2013-09-06,26.049999237060547
2013-09-09,26.3799991607666
2013-09-10,26.709999084472656
2013-09-11,26.899999618530273
2013-09-12,26.84000015258789
2013-09-13,26.8700008392334
2013-09-16,26.690000534057617
2013-09-17,27.270000457763672
2013-09-18,27.809999465942383
2013-09-19,27.809999465942383
2013-09-20,27.6299991607666
2013-09-23,27.93000030517578
2013-09-24,27.860000610351562
2013-09-25,28.06999969482422
2013-09-26,27.729999542236328
2013-09-27,27.709999084472656
2013-09-30,27.989999771118164
2013-10-01,28.40999984741211
2013-10-02,27.860000610351562
2013-10-03,27.299999237060547
2013-10-04,28.18000030517578
2013-10-07,27.760000228881836
2013-10-08,27.280000686645508
2013-10-09,28.209999084472656
2013-10-10,29.100000381469727
2013-10-11,29.850000381469727
2013-10-14,30.110000610351562
2013-10-15,29.329999923706055
2013-10-16,30.209999084472656
2013-10-17,30.719999313354492
2013-10-18,31.040000915527344
2013-10-21,30.969999313354492
2013-10-22,31.34000015258789
2013-10-23,31.389999389648438
2013-10-24,30.549999237060547
2013-10-25,30.06999969482422
2013-10-28,30.190000534057617
2013-10-29,30.5
2013-10-30,30.020000457763672
2013-10-31,29.649999618530273
2013-11-01,29.479999542236328
2013-11-04,30.239999771118164
2013-11-05,29.649999618530273
2013-11-06,29.579999923706055
2013-11-07,28.540000915527344
2013-11-08,29.290000915527344
2013-11-11,29.280000686645508
2013-11-12,29.0
2013-11-13,28.760000228881836
2013-11-14,28.65999984741211
2013-11-15,28.65999984741211
2013-11-18,28.399999618530273
2013-11-19,28.1200008392334
2013-11-20,27.65999984741211
2013-11-21,27.639999389648438
2013-11-22,27.729999542236328
2013-11-25,27.100000381469727
2013-11-26,29.15999984741211
2013-11-27,28.600000381469727
2013-11-29,28.299999237060547
2013-12-02,27.610000610351562
2013-12-03,27.90999984741211
2013-12-04,27.81999969482422
2013-12-05,27.93000030517578
2013-12-06,28.75
2013-12-09,28.700000762939453
2013-12-10,28.489999771118164
2013-12-11,27.649999618530273
2013-12-12,27.1299991607666
2013-12-13,27.139999389648438
2013-12-16,27.15999984741211
2013-12-17,27.09000015258789
2013-12-18,27.170000076293945
2013-12-19,27.049999237060547
2013-12-20,28.049999237060547
2013-12-23,27.34000015258789
2013-12-24,27.479999542236328
2013-12-26,27.190000534057617
2013-12-27,27.40999984741211
2013-12-30,27.420000076293945
2013-12-31,27.790000915527344
2014-01-02,27.450000762939453
2014-01-03,27.5
2014-01-06,27.420000076293945
2014-01-07,27.829999923706055
2014-01-08,28.040000915527344
2014-01-09,27.850000381469727
2014-01-10,27.90999984741211
2014-01-13,27.309999465942383
2014-01-14,27.389999389648438
2014-01-15,28.309999465942383
2014-01-16,28.18000030517578
2014-01-17,28.799999237060547
2014-01-21,29.239999771118164
2014-01-22,29.219999313354492
2014-01-23,29.350000381469727
2014-01-24,28.1299991607666
2014-01-27,27.43000030517578
2014-01-28,27.709999084472656
2014-01-29,27.5
