Date,NVRI
2017-12-07,17.850000381469727
2017-12-08,17.899999618530273
2017-12-11,17.5
2017-12-12,17.5
2017-12-13,17.649999618530273
2017-12-14,17.100000381469727
2017-12-15,18.299999237060547
2017-12-18,18.649999618530273
2017-12-19,18.5
2017-12-20,18.549999237060547
2017-12-21,18.549999237060547
2017-12-22,18.5
2017-12-26,18.5
2017-12-27,18.549999237060547
2017-12-28,18.600000381469727
2017-12-29,18.649999618530273
2018-01-02,18.850000381469727
2018-01-03,18.75
2018-01-04,19.25
2018-01-05,19.200000762939453
2018-01-08,19.399999618530273
2018-01-09,19.100000381469727
2018-01-10,19.049999237060547
2018-01-11,19.700000762939453
2018-01-12,19.450000762939453
2018-01-16,19.25
2018-01-17,19.5
2018-01-18,18.950000762939453
2018-01-19,19.450000762939453
2018-01-22,19.149999618530273
2018-01-23,18.899999618530273
2018-01-24,18.5
2018-01-25,18.450000762939453
2018-01-26,18.5
2018-01-29,18.350000381469727
2018-01-30,18.100000381469727
2018-01-31,17.899999618530273
2018-02-01,18.399999618530273
2018-02-02,17.799999237060547
2018-02-05,16.75
2018-02-06,16.950000762939453
2018-02-07,16.700000762939453
2018-02-08,16.149999618530273
2018-02-09,16.100000381469727
2018-02-12,16.399999618530273
2018-02-13,16.299999237060547
2018-02-14,16.399999618530273
2018-02-15,16.899999618530273
2018-02-16,16.549999237060547
2018-02-20,16.299999237060547
2018-02-21,16.75
2018-02-22,19.600000381469727
2018-02-23,20.100000381469727
2018-02-26,21.149999618530273
2018-02-27,21.049999237060547
2018-02-28,20.25
2018-03-01,19.850000381469727
2018-03-02,19.799999237060547
2018-03-05,19.850000381469727
2018-03-06,20.149999618530273
2018-03-07,20.299999237060547
2018-03-08,20.399999618530273
2018-03-09,21.049999237060547
2018-03-12,20.850000381469727
2018-03-13,20.75
2018-03-14,20.450000762939453
2018-03-15,20.299999237060547
2018-03-16,20.700000762939453
2018-03-19,20.899999618530273
2018-03-20,21.899999618530273
2018-03-21,22.850000381469727
2018-03-22,21.950000762939453
2018-03-23,21.450000762939453
2018-03-26,21.450000762939453
