Date,UFPT
2011-03-10,15.489999771118164
2011-03-11,15.380000114440918
2011-03-14,15.149999618530273
2011-03-15,14.880000114440918
2011-03-16,15.390000343322754
2011-03-17,15.920000076293945
2011-03-18,16.799999237060547
2011-03-21,16.520000457763672
2011-03-22,16.170000076293945
2011-03-23,16.280000686645508
2011-03-24,16.0
2011-03-25,16.030000686645508
2011-03-28,15.960000038146973
2011-03-29,17.030000686645508
2011-03-30,16.8700008392334
2011-03-31,17.209999084472656
2011-04-01,17.559999465942383
2011-04-04,17.81999969482422
2011-04-05,17.899999618530273
2011-04-06,18.06999969482422
2011-04-07,17.729999542236328
2011-04-08,18.299999237060547
2011-04-11,18.1299991607666
2011-04-12,17.309999465942383
2011-04-13,17.25
2011-04-14,17.229999542236328
2011-04-15,17.780000686645508
2011-04-18,17.739999771118164
2011-04-19,17.549999237060547
2011-04-20,17.530000686645508
2011-04-21,17.790000915527344
2011-04-25,18.479999542236328
2011-04-26,19.350000381469727
2011-04-27,19.360000610351562
2011-04-28,19.25
2011-04-29,19.399999618530273
2011-05-02,19.010000228881836
2011-05-03,19.110000610351562
2011-05-04,17.260000228881836
2011-05-05,16.479999542236328
2011-05-06,16.530000686645508
2011-05-09,15.859999656677246
2011-05-10,15.859999656677246
2011-05-11,15.550000190734863
2011-05-12,15.09000015258789
2011-05-13,15.470000267028809
2011-05-16,15.630000114440918
2011-05-17,15.449999809265137
2011-05-18,15.600000381469727
2011-05-19,15.65999984741211
2011-05-20,15.699999809265137
2011-05-23,15.640000343322754
2011-05-24,15.649999618530273
2011-05-25,15.869999885559082
2011-05-26,15.829999923706055
2011-05-27,15.880000114440918
2011-05-31,16.020000457763672
2011-06-01,16.06999969482422
2011-06-02,16.420000076293945
2011-06-03,16.43000030517578
2011-06-06,16.1200008392334
2011-06-07,16.1299991607666
2011-06-08,16.170000076293945
2011-06-09,16.34000015258789
2011-06-10,16.149999618530273
2011-06-13,16.200000762939453
2011-06-14,16.299999237060547
2011-06-15,16.3799991607666
2011-06-16,16.18000030517578
2011-06-17,16.25
2011-06-20,16.31999969482422
2011-06-21,16.940000534057617
2011-06-22,17.170000076293945
2011-06-23,17.239999771118164
2011-06-24,17.459999084472656
2011-06-27,17.34000015258789
2011-06-28,17.530000686645508
2011-06-29,18.450000762939453
2011-06-30,18.920000076293945
2011-07-01,18.809999465942383
2011-07-05,18.549999237060547
2011-07-06,18.260000228881836
2011-07-07,18.540000915527344
2011-07-08,18.790000915527344
2011-07-11,18.56999969482422
2011-07-12,18.530000686645508
2011-07-13,18.6200008392334
2011-07-14,18.5
2011-07-15,18.59000015258789
2011-07-18,18.989999771118164
2011-07-19,19.309999465942383
2011-07-20,18.959999084472656
2011-07-21,18.899999618530273
2011-07-22,18.690000534057617
2011-07-25,19.149999618530273
2011-07-26,18.959999084472656
2011-07-27,18.559999465942383
2011-07-28,18.549999237060547
2011-07-29,18.850000381469727
2011-08-01,19.309999465942383
2011-08-02,18.760000228881836
2011-08-03,18.59000015258789
2011-08-04,18.729999542236328
2011-08-05,17.530000686645508
2011-08-08,15.989999771118164
2011-08-09,16.56999969482422
2011-08-10,16.5
2011-08-11,16.790000915527344
2011-08-12,17.549999237060547
2011-08-15,17.34000015258789
2011-08-16,17.18000030517578
2011-08-17,16.8799991607666
2011-08-18,16.43000030517578
2011-08-19,15.920000076293945
2011-08-22,15.739999771118164
2011-08-23,15.869999885559082
2011-08-24,15.8100004196167
2011-08-25,14.960000038146973
2011-08-26,14.920000076293945
2011-08-29,15.100000381469727
2011-08-30,16.190000534057617
2011-08-31,16.209999084472656
2011-09-01,16.520000457763672
2011-09-02,16.110000610351562
2011-09-06,15.850000381469727
2011-09-07,16.1200008392334
2011-09-08,15.800000190734863
2011-09-09,15.600000381469727
2011-09-12,15.970000267028809
2011-09-13,16.0
2011-09-14,16.209999084472656
2011-09-15,16.270000457763672
2011-09-16,16.690000534057617
2011-09-19,16.6200008392334
2011-09-20,16.18000030517578
2011-09-21,15.989999771118164
2011-09-22,15.710000038146973
2011-09-23,15.329999923706055
2011-09-26,14.770000457763672
2011-09-27,15.0
2011-09-28,14.989999771118164
2011-09-29,14.899999618530273
2011-09-30,14.40999984741211
2011-10-03,13.25
2011-10-04,13.729999542236328
2011-10-05,14.220000267028809
2011-10-06,14.520000457763672
2011-10-07,14.279999732971191
2011-10-10,14.789999961853027
2011-10-11,14.65999984741211
2011-10-12,14.890000343322754
2011-10-13,14.65999984741211
2011-10-14,14.850000381469727
2011-10-17,14.649999618530273
2011-10-18,14.800000190734863
2011-10-19,14.65999984741211
2011-10-20,14.579999923706055
2011-10-21,14.520000457763672
2011-10-24,14.800000190734863
2011-10-25,14.520000457763672
2011-10-26,14.640000343322754
2011-10-27,15.0
2011-10-28,15.0
2011-10-31,15.050000190734863
2011-11-01,14.710000038146973
2011-11-02,14.6899995803833
2011-11-03,15.0
2011-11-04,15.109999656677246
2011-11-07,15.020000457763672
2011-11-08,15.09000015258789
2011-11-09,15.010000228881836
2011-11-10,15.479999542236328
2011-11-11,15.470000267028809
2011-11-14,15.600000381469727
2011-11-15,15.460000038146973
2011-11-16,15.460000038146973
2011-11-17,15.279999732971191
2011-11-18,15.149999618530273
2011-11-21,15.149999618530273
2011-11-22,15.180000305175781
2011-11-23,15.220000267028809
2011-11-25,15.069999694824219
2011-11-28,15.100000381469727
2011-11-29,15.1899995803833
2011-11-30,15.279999732971191
2011-12-01,15.430000305175781
2011-12-02,15.350000381469727
2011-12-05,15.5
2011-12-06,15.350000381469727
2011-12-07,15.149999618530273
2011-12-08,15.010000228881836
2011-12-09,15.100000381469727
2011-12-12,14.970000267028809
2011-12-13,15.109999656677246
2011-12-14,14.920000076293945
2011-12-15,15.0
2011-12-16,15.279999732971191
2011-12-19,15.029999732971191
2011-12-20,15.010000228881836
2011-12-21,15.0600004196167
2011-12-22,15.100000381469727
2011-12-23,15.100000381469727
2011-12-27,15.0
2011-12-28,15.0
2011-12-29,15.039999961853027
2011-12-30,14.770000457763672
2012-01-03,14.84000015258789
2012-01-04,14.869999885559082
2012-01-05,14.899999618530273
2012-01-06,15.109999656677246
2012-01-09,14.899999618530273
2012-01-10,14.75
2012-01-11,14.800000190734863
2012-01-12,14.649999618530273
2012-01-13,14.239999771118164
2012-01-17,14.09000015258789
2012-01-18,14.039999961853027
2012-01-19,14.010000228881836
2012-01-20,14.739999771118164
2012-01-23,14.789999961853027
2012-01-24,14.720000267028809
2012-01-25,15.140000343322754
2012-01-26,15.520000457763672
2012-01-27,15.300000190734863
2012-01-30,15.039999961853027
2012-01-31,15.489999771118164
2012-02-01,14.960000038146973
