Date,GNL
2016-02-26,8.150590896606445
2016-02-29,8.046499252319336
2016-03-01,8.32755184173584
2016-03-02,8.49410629272461
2016-03-03,8.566969871520996
2016-03-04,8.314294815063477
2016-03-07,8.513498306274414
2016-03-08,8.440105438232422
2016-03-09,8.41913890838623
2016-03-10,8.576403617858887
2016-03-11,8.67076301574707
2016-03-14,8.649800300598145
2016-03-15,8.576403617858887
2016-03-16,8.576403617858887
2016-03-17,8.618346214294434
2016-03-18,8.576403617858887
2016-03-21,8.586893081665039
2016-03-22,8.597373008728027
2016-03-23,8.60785961151123
2016-03-24,8.712708473205566
2016-03-28,8.67076301574707
2016-03-29,8.901429176330566
2016-03-30,8.859492301940918
2016-03-31,8.974822044372559
2016-04-01,9.04821491241455
2016-04-04,9.10063648223877
