Date,NU
2023-03-13,4.519999980926514
2023-03-14,4.480000019073486
2023-03-15,4.440000057220459
2023-03-16,4.610000133514404
2023-03-17,4.690000057220459
2023-03-20,4.429999828338623
2023-03-21,4.429999828338623
2023-03-22,4.320000171661377
2023-03-23,4.260000228881836
2023-03-24,4.170000076293945
2023-03-27,4.400000095367432
2023-03-28,4.360000133514404
2023-03-29,4.579999923706055
2023-03-30,4.809999942779541
2023-03-31,4.760000228881836
2023-04-03,4.519999980926514
2023-04-04,4.550000190734863
2023-04-05,4.480000019073486
2023-04-06,4.480000019073486
2023-04-10,4.519999980926514
2023-04-11,4.570000171661377
2023-04-12,4.420000076293945
2023-04-13,4.670000076293945
2023-04-14,4.659999847412109
2023-04-17,4.550000190734863
2023-04-18,4.860000133514404
2023-04-19,4.860000133514404
2023-04-20,4.889999866485596
2023-04-21,4.989999771118164
2023-04-24,4.920000076293945
2023-04-25,4.920000076293945
2023-04-26,4.940000057220459
2023-04-27,5.050000190734863
2023-04-28,5.159999847412109
2023-05-01,5.360000133514404
2023-05-02,5.190000057220459
2023-05-03,5.179999828338623
2023-05-04,5.239999771118164
2023-05-05,5.460000038146973
2023-05-08,5.920000076293945
2023-05-09,5.820000171661377
2023-05-10,5.909999847412109
2023-05-11,5.909999847412109
2023-05-12,5.809999942779541
2023-05-15,6.090000152587891
2023-05-16,6.099999904632568
2023-05-17,6.179999828338623
2023-05-18,6.389999866485596
2023-05-19,6.519999980926514
2023-05-22,6.639999866485596
2023-05-23,6.840000152587891
2023-05-24,6.809999942779541
2023-05-25,6.909999847412109
2023-05-26,6.789999961853027
2023-05-30,6.75
2023-05-31,6.739999771118164
2023-06-01,6.829999923706055
2023-06-02,6.96999979019165
2023-06-05,6.920000076293945
2023-06-06,7.130000114440918
2023-06-07,7.389999866485596
2023-06-08,7.269999980926514
2023-06-09,7.489999771118164
2023-06-12,7.619999885559082
2023-06-13,7.539999961853027
2023-06-14,7.349999904632568
2023-06-15,7.409999847412109
2023-06-16,7.539999961853027
2023-06-20,7.679999828338623
2023-06-21,7.710000038146973
2023-06-22,7.489999771118164
2023-06-23,7.559999942779541
2023-06-26,7.309999942779541
2023-06-27,7.650000095367432
2023-06-28,7.800000190734863
2023-06-29,7.789999961853027
2023-06-30,7.889999866485596
2023-07-03,7.960000038146973
2023-07-05,7.880000114440918
2023-07-06,7.670000076293945
2023-07-07,7.78000020980835
2023-07-10,7.820000171661377
2023-07-11,7.809999942779541
2023-07-12,7.900000095367432
2023-07-13,8.180000305175781
2023-07-14,7.71999979019165
2023-07-17,7.869999885559082
2023-07-18,7.639999866485596
2023-07-19,7.619999885559082
2023-07-20,7.699999809265137
2023-07-21,7.920000076293945
2023-07-24,7.860000133514404
2023-07-25,7.840000152587891
2023-07-26,7.849999904632568
2023-07-27,7.78000020980835
2023-07-28,7.900000095367432
2023-07-31,7.960000038146973
2023-08-01,7.909999847412109
2023-08-02,7.809999942779541
2023-08-03,7.769999980926514
2023-08-04,7.849999904632568
2023-08-07,7.840000152587891
2023-08-08,7.989999771118164
2023-08-09,7.829999923706055
2023-08-10,7.739999771118164
2023-08-11,7.760000228881836
2023-08-14,7.940000057220459
2023-08-15,7.909999847412109
2023-08-16,7.639999866485596
2023-08-17,7.139999866485596
2023-08-18,7.210000038146973
2023-08-21,7.349999904632568
2023-08-22,7.349999904632568
2023-08-23,7.25
2023-08-24,7.070000171661377
2023-08-25,7.110000133514404
2023-08-28,6.960000038146973
2023-08-29,6.940000057220459
2023-08-30,7.039999961853027
2023-08-31,6.849999904632568
2023-09-01,7.110000133514404
2023-09-05,6.809999942779541
2023-09-06,6.900000095367432
2023-09-07,6.829999923706055
2023-09-08,6.809999942779541
2023-09-11,7.380000114440918
2023-09-12,7.460000038146973
2023-09-13,7.550000190734863
2023-09-14,7.53000020980835
2023-09-15,7.360000133514404
2023-09-18,7.289999961853027
2023-09-19,7.210000038146973
2023-09-20,7.010000228881836
2023-09-21,6.880000114440918
2023-09-22,6.849999904632568
2023-09-25,6.940000057220459
2023-09-26,6.809999942779541
